place_id,name,name_key,category,subcategory,district,city,province,latitude,longitude,opening_hours,source,source_file,all_sources,all_source_files
PLC0014435,Sandy Edge,sandy edge,accommodation,guest_house,Puttalam,,North Western,8.224426,79.7312338,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014436,SANDY RIVER INN,sandy river inn,accommodation,Guest Houses,Kandy,Kandy,,7.277312,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
PLC0014437,Sandya GuestHouse,sandya guesthouse,accommodation,guest_house,Matale,,Central,7.9404228,80.7292157,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014438,Sandy‘s Seafood Restaurant & Bar,sandys seafood restaurant bar,food,restaurant,Hambantota,,Southern,6.0394061,80.8122445,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014439,Sanecra Hardware,sanecra hardware,shopping,hardware,Gampaha,,Western,7.1073296500000005,79.8840369,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014440,Saneepa Hotel,saneepa hotel,accommodation,hotel,Ampara,Ulla,Eastern,6.8337819,81.8233394,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014441,Saneka restaurant and bar,saneka restaurant and bar,food,restaurant,Galle,,Southern,6.2327701,80.0543363,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014442,Sanemro Villa,sanemro villa,accommodation,hotel,Matale,,Central,7.8745012,80.6507238,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014443,Sangamankanda Point,sangamankanda point,attraction,lighthouse,Ampara,,Eastern,7.0257824,81.8779426,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014444,Sangeeth Restaurant,sangeeth restaurant,food,restaurant,Gampaha,,Western,7.0745854,79.89169115000001,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014445,Sangeetha jewels,sangeetha jewels,shopping,jewelry,Colombo,,Western,6.8720677,79.8619175,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014446,Sangraha restaurant,sangraha restaurant,food,restaurant,Matale,,Central,7.6536093,80.6360638,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014447,sanhida,sanhida,shopping,books,Gampaha,,Western,7.0305458000000005,80.02885695,,openstreetmap,points_of_interest.geojson,openstreetmap,points_of_interest.geojson
PLC0014448,SANHINDA LEISURE CENTER,sanhinda leisure center,food,,Colombo,,,,,,official_tourism,Restaurants.xlsx,official_tourism,Restaurants.xlsx
PLC0014449,SANHINDA REST,sanhinda rest,accommodation,Guest Houses,Galle,Bope,,,,,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv,official_tourism,Guest Houses.xlsx | Information for Accommodation.csv
